,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,Label,Sequence No
0,552,201,523,210,494,199,494,173,499,144,495,138,504,109,520,90,537,75,521,121,530,94,549,75,569,60,546,115,568,118,581,155,589,184,571,120,587,126,597,154,602,175,a,1
1,553,197,526,205,500,193,500,170,501,145,499,135,509,106,523,88,539,72,525,118,535,92,553,72,572,55,551,114,575,120,587,157,594,184,577,122,595,131,604,156,610,174,a,1
2,554,192,525,206,499,194,502,171,508,146,506,141,517,113,530,93,543,75,533,123,547,102,564,83,581,68,560,117,581,133,586,173,588,204,585,121,602,137,609,163,612,183,a,1
3,564,207,534,216,507,202,508,179,514,154,511,142,529,114,547,95,565,78,539,127,554,104,574,85,593,70,566,124,589,133,595,173,597,205,593,130,610,144,616,172,617,194,a,1
4,565,199,536,213,511,204,511,182,517,156,514,141,536,114,559,93,583,77,542,124,566,108,588,95,609,88,568,121,596,135,601,176,602,208,594,127,613,141,620,168,624,189,a,1
5,564,201,534,214,508,203,509,181,517,156,510,144,526,117,544,99,563,84,539,128,555,106,577,87,599,73,568,123,591,135,595,174,596,206,595,129,613,142,620,167,623,187,a,1
6,567,206,537,220,510,208,508,186,512,159,511,149,532,119,554,99,576,83,540,132,563,114,583,105,602,100,568,128,596,140,600,179,601,210,594,134,615,148,621,175,623,195,a,1
7,565,204,536,219,509,209,508,187,511,161,511,151,528,124,546,105,565,90,539,133,558,113,576,99,594,88,566,128,593,139,599,177,601,207,592,133,611,147,618,174,621,194,a,1
8,571,220,540,230,510,217,510,194,517,170,510,158,520,135,536,120,554,108,540,143,552,121,573,103,594,87,570,139,591,151,597,188,598,217,600,147,615,162,620,188,620,207,a,1
9,590,263,559,273,526,274,513,266,518,247,518,190,500,219,517,242,530,248,547,176,535,213,553,238,561,238,575,177,574,230,585,261,587,264,603,189,604,237,608,265,606,272,a,1
10,592,275,563,285,528,286,512,275,518,258,506,211,506,229,525,249,537,256,535,189,547,227,564,254,568,258,566,182,584,233,593,261,592,266,597,185,610,229,616,257,614,264,a,1
11,587,297,554,308,522,310,512,306,524,292,508,228,524,267,540,291,545,291,540,209,560,267,570,293,570,294,574,206,594,272,597,302,592,305,607,214,617,265,614,292,606,297,a,1
12,577,297,551,315,522,322,521,326,542,320,501,264,529,296,539,308,539,302,534,234,580,298,582,314,574,307,570,224,611,297,605,316,591,309,603,224,629,287,622,310,609,309,a,1
13,596,326,573,341,551,358,554,371,565,373,510,293,522,328,534,352,541,368,538,267,568,324,580,347,580,354,573,257,603,319,612,342,609,345,607,258,628,305,631,321,626,322,a,1
14,597,340,576,358,559,374,564,392,575,397,511,310,515,343,529,372,542,394,538,284,559,337,579,371,591,391,573,275,596,331,610,360,614,374,607,279,622,319,628,336,627,343,a,1
15,605,346,576,370,559,390,559,413,565,430,508,339,513,383,529,418,546,445,536,314,558,378,577,420,593,447,573,305,599,370,612,404,621,421,611,307,628,356,632,379,636,389,a,1
16,607,352,580,378,563,401,563,427,565,446,505,349,514,397,536,433,557,460,531,322,553,387,573,431,591,457,569,309,596,374,611,411,620,428,608,307,622,356,627,380,631,391,a,1
17,607,359,583,387,568,411,575,435,584,447,501,356,510,397,533,430,555,455,526,323,557,384,580,427,596,451,565,307,597,368,611,404,616,419,605,305,623,352,627,376,627,385,a,1
18,603,368,575,393,549,414,540,426,535,421,476,349,477,379,491,408,510,434,500,316,520,366,546,405,566,429,537,301,571,360,590,396,600,416,580,301,602,351,610,384,614,404,a,2
19,591,368,565,389,544,409,539,423,539,422,467,346,470,379,483,408,499,430,490,313,511,366,537,401,553,419,528,299,561,361,580,391,586,402,570,298,594,349,602,377,601,390,a,2
20,579,364,545,388,507,403,484,410,469,408,451,334,453,367,472,396,491,418,476,306,495,365,516,394,529,405,513,295,545,364,562,384,566,384,554,294,576,352,584,369,582,367,a,2
21,561,354,517,383,478,396,452,404,431,407,425,328,429,379,457,395,475,392,453,301,467,366,485,385,491,384,492,289,516,359,531,376,534,373,533,288,549,340,556,356,556,353,a,2
22,494,314,444,340,400,355,374,363,357,375,363,309,348,333,336,355,327,379,379,286,373,334,372,366,371,393,405,273,414,334,433,358,447,373,434,268,440,316,452,335,460,342,a,2
23,428,308,384,337,338,355,308,366,280,379,314,314,286,335,260,351,237,367,326,290,301,320,276,343,255,362,346,273,349,321,366,344,378,358,371,262,375,301,385,318,390,326,a,2
24,359,313,329,344,293,366,273,372,252,380,249,324,217,340,191,356,168,372,260,294,227,309,202,328,179,344,283,274,281,317,297,349,310,368,313,265,317,304,325,332,328,350,a,2
25,319,315,289,347,239,365,202,369,165,380,204,327,157,341,123,355,95,371,213,298,171,318,135,338,106,357,233,274,237,320,260,352,280,372,263,260,267,305,277,337,285,358,a,2
26,316,310,283,341,231,359,194,366,157,378,194,323,143,339,108,353,80,367,202,292,158,315,128,336,101,356,222,268,222,319,248,351,270,371,252,254,256,302,268,336,277,359,a,2
27,307,302,268,340,218,357,183,361,146,371,180,319,127,336,94,350,64,364,188,287,139,311,106,332,76,352,207,261,205,317,232,354,253,376,236,246,238,300,250,338,260,365,a,2
28,301,294,259,333,210,350,175,357,136,369,171,312,117,333,84,347,54,361,179,283,131,310,100,331,71,350,199,258,196,315,221,350,242,372,229,244,229,298,240,336,249,362,a,2
29,300,296,258,336,209,354,175,360,138,369,167,318,114,336,83,350,55,363,176,288,128,313,97,336,68,356,195,264,194,317,221,352,241,372,224,249,227,301,241,336,252,359,a,2
30,298,300,254,339,208,356,174,362,137,372,166,322,113,340,81,354,53,366,174,293,127,319,95,339,64,358,192,268,195,321,222,356,244,377,221,253,226,302,240,336,252,360,a,2
31,299,302,256,341,209,360,175,367,138,375,167,325,115,344,83,357,56,370,175,295,127,320,95,342,66,361,194,271,194,324,221,359,242,379,222,256,225,306,241,339,254,362,a,2
